supplier,supplier_name,line,species,form,grade,native_price,native_unit,currency,incoterm,net_fraction,kg_per_unit,fx_units_per_eur,freight_adder_eur_kg,eur_per_kg_net_dap,source,expected_flags
S1,Fjordline Seafood AS,L01,Atlantic salmon (farmed),"HOG, frozen",2-3 kg,80.73,NOK/kg,NOK,FCA Alesund,1.0,1.0,11.7,0.35,7.25,quoted,FX NOK; freight adder 0.35; conditional 2% rebate if >150 t
S4,Oceanis Trading SARL,L01,Atlantic salmon (farmed),"HOG, frozen",2-3 kg,6.93,EUR/kg,EUR,CIF Rotterdam,1.0,1.0,1.0,0.22,7.15,quoted,freight adder 0.22
S5,Baltic Blue Foods Sp. z o.o.,L01,Atlantic salmon (farmed),"HOG, frozen",2-3 kg,6.91,EUR/kg,EUR,EXW Gdynia + 0.18,1.0,1.0,1.0,0.0,6.91,same as last year (buyer contract file),'same as last year' - resolved from contract file (last year was DAP); AMBIGUOUS whether the new 0.18 freight applies - ask buyer/supplier
S1,Fjordline Seafood AS,L02,Atlantic salmon (farmed),"HOG, frozen",3-4 kg,80.61,NOK/kg,NOK,FCA Alesund,1.0,1.0,11.7,0.35,7.24,quoted,FX NOK; freight adder 0.35; conditional 2% rebate if >150 t
S4,Oceanis Trading SARL,L02,Atlantic salmon (farmed),"HOG, frozen",3-4 kg,7.22,EUR/kg,EUR,CIF Rotterdam,1.0,1.0,1.0,0.22,7.44,quoted,freight adder 0.22
S5,Baltic Blue Foods Sp. z o.o.,L02,Atlantic salmon (farmed),"HOG, frozen",3-4 kg,7.3,EUR/kg,EUR,EXW Gdynia + 0.18,1.0,1.0,1.0,0.0,7.3,same as last year (buyer contract file),'same as last year' - resolved from contract file (last year was DAP); AMBIGUOUS whether the new 0.18 freight applies - ask buyer/supplier
S1,Fjordline Seafood AS,L03,Atlantic salmon (farmed),"HOG, frozen",4-5 kg,86.58,NOK/kg,NOK,FCA Alesund,1.0,1.0,11.7,0.35,7.75,quoted,FX NOK; freight adder 0.35; conditional 2% rebate if >150 t
S4,Oceanis Trading SARL,L03,Atlantic salmon (farmed),"HOG, frozen",4-5 kg,7.6,EUR/kg,EUR,CIF Rotterdam,1.0,1.0,1.0,0.22,7.82,quoted,freight adder 0.22
S5,Baltic Blue Foods Sp. z o.o.,L03,Atlantic salmon (farmed),"HOG, frozen",4-5 kg,7.51,EUR/kg,EUR,EXW Gdynia + 0.18,1.0,1.0,1.0,0.18,7.69,quoted,freight adder 0.18; EXW; supplier-stated freight approx 0.18
S1,Fjordline Seafood AS,L04,Atlantic salmon (farmed),"HOG, frozen",5-6 kg,89.04,NOK/kg,NOK,FCA Alesund,1.0,1.0,11.7,0.35,7.96,quoted,FX NOK; freight adder 0.35; conditional 2% rebate if >150 t
